x_group,y_group,count
0,0,182
320,120,137
310,120,135
270,120,133
290,120,132
280,120,126
260,120,126
300,120,121
360,120,119
340,120,118
330,120,109
370,120,107
380,120,106
420,120,106
250,120,102
350,120,101
280,110,98
0,220,94
230,120,89
320,110,85
410,120,84
0,450,82
0,340,82
290,110,80
270,110,77
260,110,76
0,50,74
370,110,74
0,110,73
240,120,73
330,110,71
430,120,68
360,110,66
0,100,65
400,120,64
340,110,64
390,120,63
300,130,63
210,120,62
350,110,61
310,110,61
290,130,60
280,130,60
250,340,60
380,110,58
220,240,58
0,190,57
450,120,57
260,240,56
470,120,55
270,250,54
260,230,53
0,280,53
310,130,52
220,110,52
300,230,51
0,570,51
230,110,51
250,240,51
220,120,51
0,790,50
640,0,50
590,0,50
0,210,50
390,110,50
250,130,50
300,110,50
330,130,50
350,130,49
280,240,49
0,250,49
630,0,49
310,340,49
370,250,49
0,60,48
320,350,48
280,340,48
380,230,48
530,0,47
300,240,47
310,230,47
440,120,47
420,110,47
380,240,47
360,130,46
660,0,46
0,300,46
230,530,46
320,340,46
480,0,46
460,120,46
360,240,45
390,250,45
540,0,45
0,150,45
0,160,44
520,0,44
570,0,44
0,200,44
460,240,44
490,0,44
230,350,44
320,230,43
360,310,43
230,240,43
0,170,43
280,140,43
200,240,43
430,110,43
340,200,42
0,330,42
480,120,42
300,340,41
440,110,41
390,240,41
0,90,41
220,230,41
0,230,41
250,530,41
650,0,41
240,230,40
350,250,40
270,130,40
340,140,40
290,240,40
440,0,40
330,340,40
260,130,40
370,240,40
340,240,40
0,680,40
350,140,40
400,110,40
0,240,40
250,110,40
210,230,40
330,350,39
250,230,39
0,400,39
340,310,39
440,190,39
340,130,39
330,140,39
300,250,39
220,250,39
0,510,39
270,230,39
410,130,38
290,140,38
620,0,38
0,310,38
610,0,38
370,130,38
190,120,38
240,340,38
240,360,38
330,300,38
680,0,38
0,560,38
380,130,38
230,340,37
0,20,37
0,270,37
490,340,37
450,140,37
410,110,37
0,290,37
390,230,37
290,210,37
0,180,37
240,130,37
320,140,37
350,240,37
0,390,36
0,1020,36
310,300,36
550,0,36
560,0,36
240,350,36
280,250,36
340,210,36
0,80,36
420,130,36
220,530,36
470,110,36
240,110,36
480,240,36
1360,100,36
260,320,36
320,330,36
490,110,35
360,350,35
330,150,35
460,130,35
220,130,35
490,120,35
0,760,35
450,270,35
450,0,35
260,340,35
510,0,35
410,230,35
330,230,35
670,0,34
340,220,34
470,0,34
450,130,34
340,530,34
240,530,34
240,250,34
400,130,34
250,540,34
370,310,34
450,170,34
430,0,34
750,0,34
330,320,34
710,0,34
180,230,34
400,250,34
0,420,34
270,240,34
250,250,34
370,360,34
290,250,34
250,320,34
0,10,33
0,410,33
200,120,33
280,350,33
0,380,33
350,230,33
390,270,33
510,260,33
300,220,33
500,140,33
280,230,33
350,340,33
360,250,32
420,250,32
350,300,32
460,0,32
300,140,32
300,260,32
210,240,32
220,540,32
330,210,32
380,150,32
340,350,32
270,340,32
300,330,32
230,230,32
310,350,32
410,0,31
180,120,31
270,170,31
0,40,31
0,70,31
0,350,31
340,330,31
310,150,31
500,0,31
220,220,31
270,140,31
240,540,31
170,250,31
340,320,31
360,230,31
240,240,31
330,250,31
400,240,31
350,350,31
320,360,31
300,200,30
300,190,30
500,290,30
290,340,30
0,910,30
790,0,30
240,290,30
600,0,30
700,0,30
240,320,30
310,330,30
270,150,30
200,130,30
340,190,30
400,230,30
0,320,30
450,190,30
580,0,30
190,240,30
380,250,30
230,520,30
380,140,29
470,130,29
0,530,29
410,150,29
310,250,29
400,160,29
260,250,29
250,350,29
0,30,29
360,530,29
310,200,29
340,230,29
420,0,29
360,210,29
400,310,29
230,300,29
180,240,29
860,180,29
230,210,28
310,240,28
300,170,28
250,220,28
430,300,28
470,150,28
320,280,28
230,20,28
320,250,28
0,540,28
0,460,28
260,260,28
390,200,28
310,320,28
480,250,28
260,150,28
360,330,28
350,360,28
230,130,28
500,120,28
340,300,28
360,150,28
330,270,28
690,0,28
280,460,28
280,320,28
400,340,28
0,500,28
330,310,28
280,530,28
370,150,28
440,200,27
260,360,27
400,300,27
450,150,27
210,130,27
0,360,27
330,370,27
380,370,27
210,530,27
490,150,27
260,140,27
530,120,27
290,230,27
450,200,27
290,350,27
530,250,27
0,440,27
300,350,27
320,240,27
330,290,27
440,320,27
360,190,27
380,300,27
370,350,27
410,190,26
380,360,26
320,270,26
410,240,26
290,150,26
380,270,26
0,260,26
400,260,26
340,360,26
290,330,26
270,100,26
330,260,26
430,340,26
770,0,26
390,130,26
430,240,26
340,280,26
360,100,26
290,530,26
380,340,26
380,210,26
470,290,26
430,250,26
280,220,26
610,180,26
390,100,26
300,360,26
240,140,26
220,260,26
440,240,26
210,400,26
470,250,25
330,360,25
240,310,25
320,170,25
0,580,25
270,530,25
390,190,25
800,0,25
440,140,25
230,250,25
360,260,25
400,140,25
380,260,25
330,160,25
390,140,25
500,110,25
940,180,25
350,270,25
220,520,25
280,260,25
0,550,25
340,380,25
160,250,25
420,220,25
200,540,25
320,310,25
200,230,25
380,350,25
410,300,25
350,210,25
220,430,25
180,530,25
830,210,25
360,380,24
210,220,24
540,140,24
330,100,24
490,290,24
190,350,24
310,140,24
420,300,24
260,330,24
0,520,24
250,170,24
470,160,24
320,130,24
360,300,24
720,240,24
350,330,24
480,110,24
310,210,24
440,220,24
250,360,24
470,220,24
230,330,24
370,290,24
210,250,24
340,370,24
430,230,24
420,240,24
320,210,24
410,140,24
250,310,24
390,260,24
440,230,24
720,0,24
370,320,24
370,140,24
240,520,24
210,350,24
360,200,24
430,130,24
480,230,24
390,320,24
440,330,24
370,200,24
330,240,24
730,0,23
410,180,23
410,210,23
0,130,23
0,640,23
350,310,23
440,250,23
370,100,23
420,180,23
430,100,23
240,100,23
360,270,23
310,360,23
240,180,23
200,250,23
350,150,23
320,220,23
470,300,23
330,200,23
340,150,23
